3120.000000	benchmarks/takfp.lua	luajit	tilera	"8"	1	1	None	total
1570.000000	benchmarks/takfp.lua	luajit	tilera	"8"	1	1	None	pass1	total
1550.000000	benchmarks/takfp.lua	luajit	tilera	"8"	1	1	None	pass2	total
33680.000000	benchmarks/ary.lua	lua	tilera	"10000"	1	1	None	total
16840.000000	benchmarks/ary.lua	lua	tilera	"10000"	1	1	None	pass1	total
16830.000000	benchmarks/ary.lua	lua	tilera	"10000"	1	1	None	pass2	total
33690.000000	benchmarks/ary.lua	lua	tilera	"10000"	1	1	None	total
16850.000000	benchmarks/ary.lua	lua	tilera	"10000"	1	1	None	pass1	total
16840.000000	benchmarks/ary.lua	lua	tilera	"10000"	1	1	None	pass2	total
4490.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	total
2220.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	pass1	total
2250.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	pass2	total
4370.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	total
2160.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	pass1	total
2190.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	pass2	total
4380.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	total
2170.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	pass1	total
2210.000000	benchmarks/binarytrees.lua-2.lua	lua	tilera	"10"	1	1	None	pass2	total
4250.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	total
2110.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	pass1	total
2120.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	pass2	total
4260.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	total
2120.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	pass1	total
2130.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	pass2	total
4230.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	total
2100.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	pass1	total
2110.000000	benchmarks/binarytrees.lua-3.lua	lua	tilera	"10"	1	1	None	pass2	total
9230.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	total
4590.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	pass1	total
4630.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	pass2	total
9140.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	total
4550.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	pass1	total
4590.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	pass2	total
9150.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	total
4560.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	pass1	total
4590.000000	benchmarks/chameneos.lua	lua	tilera	"200000"	1	1	None	pass2	total
8250.000000	benchmarks/except.lua	lua	tilera	"250000"	1	1	None	total
4130.000000	benchmarks/except.lua	lua	tilera	"250000"	1	1	None	pass1	total
4120.000000	benchmarks/except.lua	lua	tilera	"250000"	1	1	None	pass2	total
8250.000000	benchmarks/except.lua	lua	tilera	"250000"	1	1	None	total
4130.000000	benchmarks/except.lua	lua	tilera	"250000"	1	1	None	pass1	total
4110.000000	benchmarks/except.lua	lua	tilera	"250000"	1	1	None	pass2	total
22030.000000	benchmarks/fannkuch.lua	lua	tilera	"9"	1	1	None	total
11020.000000	benchmarks/fannkuch.lua	lua	tilera	"9"	1	1	None	pass1	total
11010.000000	benchmarks/fannkuch.lua	lua	tilera	"9"	1	1	None	pass2	total
22030.000000	benchmarks/fannkuch.lua	lua	tilera	"9"	1	1	None	total
11010.000000	benchmarks/fannkuch.lua	lua	tilera	"9"	1	1	None	pass1	total
11020.000000	benchmarks/fannkuch.lua	lua	tilera	"9"	1	1	None	pass2	total
21360.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	total
10680.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	pass1	total
10680.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	pass2	total
21330.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	total
10670.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	pass1	total
10660.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	pass2	total
21290.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	total
10640.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	pass1	total
10650.000000	benchmarks/fannkuch.lua-2.lua	lua	tilera	"9"	1	1	None	pass2	total
22980.000000	benchmarks/fannkuchredux.lua	lua	tilera	"9"	1	1	None	total
11500.000000	benchmarks/fannkuchredux.lua	lua	tilera	"9"	1	1	None	pass1	total
11480.000000	benchmarks/fannkuchredux.lua	lua	tilera	"9"	1	1	None	pass2	total
22990.000000	benchmarks/fannkuchredux.lua	lua	tilera	"9"	1	1	None	total
11500.000000	benchmarks/fannkuchredux.lua	lua	tilera	"9"	1	1	None	pass1	total
11490.000000	benchmarks/fannkuchredux.lua	lua	tilera	"9"	1	1	None	pass2	total
23920.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	total
11970.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	pass1	total
11950.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	pass2	total
23880.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	total
11930.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	pass1	total
11950.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	pass2	total
23960.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	total
12000.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	pass1	total
11960.000000	benchmarks/fasta.lua	lua	tilera	"200000"	1	1	None	pass2	total
6690.000000	benchmarks/fibo.lua	lua	tilera	"30"	1	1	None	total
3350.000000	benchmarks/fibo.lua	lua	tilera	"30"	1	1	None	pass1	total
3340.000000	benchmarks/fibo.lua	lua	tilera	"30"	1	1	None	pass2	total
6690.000000	benchmarks/fibo.lua	lua	tilera	"30"	1	1	None	total
3350.000000	benchmarks/fibo.lua	lua	tilera	"30"	1	1	None	pass1	total
3340.000000	benchmarks/fibo.lua	lua	tilera	"30"	1	1	None	pass2	total
83250.000000	benchmarks/harmonic.lua	lua	tilera	"20000000"	1	1	None	total
41630.000000	benchmarks/harmonic.lua	lua	tilera	"20000000"	1	1	None	pass1	total
41620.000000	benchmarks/harmonic.lua	lua	tilera	"20000000"	1	1	None	pass2	total
83250.000000	benchmarks/harmonic.lua	lua	tilera	"20000000"	1	1	None	total
41630.000000	benchmarks/harmonic.lua	lua	tilera	"20000000"	1	1	None	pass1	total
41620.000000	benchmarks/harmonic.lua	lua	tilera	"20000000"	1	1	None	pass2	total
10130.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	total
5040.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	pass1	total
5050.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	pass2	total
10150.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	total
5060.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	pass1	total
5050.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	pass2	total
10170.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	total
5080.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	pass1	total
5050.000000	benchmarks/hash2.lua	lua	tilera	"200"	1	1	None	pass2	total
10080.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	total
5010.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	pass1	total
3880.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	pass2	total
10130.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	total
5060.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	pass1	total
3900.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	pass2	total
10090.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	total
5020.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	pass1	total
3890.000000	benchmarks/hash.lua	lua	tilera	"150000"	1	1	None	pass2	total
10.000000	benchmarks/hello.lua	lua	tilera	"None"	1	1	None	total
10.000000	benchmarks/hello.lua	lua	tilera	"None"	1	1	None	pass1	total
0.000000	benchmarks/hello.lua	lua	tilera	"None"	1	1	None	pass2	total
10.000000	benchmarks/hello.lua	lua	tilera	"None"	1	1	None	total
10.000000	benchmarks/hello.lua	lua	tilera	"None"	1	1	None	pass1	total
0.000000	benchmarks/hello.lua	lua	tilera	"None"	1	1	None	pass2	total
11080.000000	benchmarks/lists.lua	lua	tilera	"25"	1	1	None	total
5550.000000	benchmarks/lists.lua	lua	tilera	"25"	1	1	None	pass1	total
5530.000000	benchmarks/lists.lua	lua	tilera	"25"	1	1	None	pass2	total
11080.000000	benchmarks/lists.lua	lua	tilera	"25"	1	1	None	total
5550.000000	benchmarks/lists.lua	lua	tilera	"25"	1	1	None	pass1	total
5530.000000	benchmarks/lists.lua	lua	tilera	"25"	1	1	None	pass2	total
15750.000000	benchmarks/mandelbrot.lua	lua	tilera	"400"	1	1	None	total
7880.000000	benchmarks/mandelbrot.lua	lua	tilera	"400"	1	1	None	pass1	total
7860.000000	benchmarks/mandelbrot.lua	lua	tilera	"400"	1	1	None	pass2	total
15760.000000	benchmarks/mandelbrot.lua	lua	tilera	"400"	1	1	None	total
7870.000000	benchmarks/mandelbrot.lua	lua	tilera	"400"	1	1	None	pass1	total
7870.000000	benchmarks/mandelbrot.lua	lua	tilera	"400"	1	1	None	pass2	total
12090.000000	benchmarks/mandelbrot.lua-2.lua	lua	tilera	"350"	1	1	None	total
6050.000000	benchmarks/mandelbrot.lua-2.lua	lua	tilera	"350"	1	1	None	pass1	total
