#!/usr/local/bin/rebench -d -n rebench.conf
[2012-07-10 16:30:43.818347]	benchmarks/sieve.lua-2.lua, vm:luajit, suite:tilera, args:'200'	1	1	None	pass2	total = 6060.000000
[2012-07-10 16:30:53.148118]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	total = 6910.000000
[2012-07-10 16:30:53.148284]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	pass1	total = 3340.000000
[2012-07-10 16:30:53.148380]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	pass2	total = 3360.000000
[2012-07-10 16:31:00.528242]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	total = 6920.000000
[2012-07-10 16:31:00.528406]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	pass1	total = 3360.000000
[2012-07-10 16:31:00.528500]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	pass2	total = 3360.000000
[2012-07-10 16:31:07.928224]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	total = 6920.000000
[2012-07-10 16:31:07.928389]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	pass1	total = 3370.000000
[2012-07-10 16:31:07.928483]	benchmarks/strcat.lua, vm:luajit, suite:tilera, args:'800000'	1	1	None	pass2	total = 3350.000000
[2012-07-10 16:31:15.528262]	benchmarks/strcat.lua-2.lua, vm:luajit, suite:tilera, args:'15000'	1	1	None	total = 7160.000000
[2012-07-10 16:31:15.528434]	benchmarks/strcat.lua-2.lua, vm:luajit, suite:tilera, args:'15000'	1	1	None	pass1	total = 3610.000000
[2012-07-10 16:31:15.528524]	benchmarks/strcat.lua-2.lua, vm:luajit, suite:tilera, args:'15000'	1	1	None	pass2	total = 3540.000000
[2012-07-10 16:31:23.138377]	benchmarks/strcat.lua-2.lua, vm:luajit, suite:tilera, args:'15000'	1	1	None	total = 7160.000000
[2012-07-10 16:31:23.138545]	benchmarks/strcat.lua-2.lua, vm:luajit, suite:tilera, args:'15000'	1	1	None	pass1	total = 3610.000000
[2012-07-10 16:31:23.138637]	benchmarks/strcat.lua-2.lua, vm:luajit, suite:tilera, args:'15000'	1	1	None	pass2	total = 3550.000000
